number,coordinate,dependencies
0,com.googlecode.gwt-crypto:gwt-crypto:2.3.0,com.googlecode.gwt-crypto:gwt-crypto:2.3.0
1,com.newrelic.agent.android:agent-gradle-plugin:5.6.1,com.newrelic.agent.android:agent-gradle-plugin:5.6.1;com.newrelic.agent.android:class-rewriter:5.6.1
2,com.github.shiver-me-timbers:smt-aws-cfn-cr-kms-decrypt:1.2,com.github.shiver-me-timbers:smt-aws-cfn-cr-kms-decrypt:1.2;com.github.shiver-me-timbers:smt-aws-cfn-cr-scaffold:1.2;com.amazonaws:aws-lambda-java-log4j:1.0.0;com.amazonaws:aws-lambda-java-core:1.1.0;log4j:log4j:1.2.17;com.fasterxml.jackson.core:jackson-databind:2.8.10;com.fasterxml.jackson.core:jackson-annotations:2.8.0;com.fasterxml.jackson.core:jackson-core:2.8.10;com.amazonaws:aws-java-sdk-kms:1.11.202;com.amazonaws:aws-java-sdk-core:1.11.202;commons-logging:commons-logging:1.1.3;org.apache.httpcomponents:httpclient:4.5.2;org.apache.httpcomponents:httpcore:4.4.4;commons-codec:commons-codec:1.9;software.amazon.ion:ion-java:1.0.2;com.fasterxml.jackson.dataformat:jackson-dataformat-cbor:2.6.7;joda-time:joda-time:2.8.1;com.amazonaws:jmespath-java:1.11.202
3,org.jresearch.commons.base.resources:org.jresearch.commons.base.resources.impl:1.0.9,org.jresearch.commons.base.resources:org.jresearch.commons.base.resources.impl:1.0.9;commons-lang:commons-lang:2.6;org.hibernate:hibernate-entitymanager:4.3.11.Final;org.jboss.logging:jboss-logging:3.1.3.GA;org.jboss.logging:jboss-logging-annotations:1.2.0.Beta1;org.hibernate:hibernate-core:4.3.11.Final;antlr:antlr:2.7.7;org.jboss:jandex:1.1.0.Final;dom4j:dom4j:1.6.1;xml-apis:xml-apis:1.0.b2;org.hibernate.common:hibernate-commons-annotations:4.0.5.Final;org.jboss.spec.javax.transaction:jboss-transaction-api_1.2_spec:1.0.0.Final;org.javassist:javassist:3.18.1-GA;org.hibernate.javax.persistence:hibernate-jpa-2.1-api:1.0.0.Final;org.jresearch.commons.base.resources:org.jresearch.commons.base.resources.api:1.0.9;org.jresearch.commons.base:org.jresearch.commons.base.domain:1.0.42;one.util:streamex:0.6.7;javax.persistence:javax.persistence-api:2.2;com.google.guava:guava:27.0-jre;com.google.guava:failureaccess:1.0;com.google.guava:listenablefuture:9999.0-empty-to-avoid-conflict-with-guava;org.checkerframework:checker-qual:2.5.2;com.google.errorprone:error_prone_annotations:2.2.0;com.google.j2objc:j2objc-annotations:1.1;org.codehaus.mojo:animal-sniffer-annotations:1.17;com.google.code.findbugs:jsr305:3.0.2;joda-time:joda-time:2.10.1;org.slf4j:jcl-over-slf4j:1.7.18;org.slf4j:slf4j-api:1.7.18;org.springframework:spring-aop:4.2.5.RELEASE;aopalliance:aopalliance:1.0;org.springframework:spring-beans:4.2.5.RELEASE;org.springframework:spring-core:4.2.5.RELEASE;commons-logging:commons-logging:1.2;org.springframework:spring-jdbc:4.2.5.RELEASE;org.springframework:spring-orm:4.2.5.RELEASE;org.springframework:spring-tx:4.2.5.RELEASE;org.springframework:spring-test:4.2.5.RELEASE
4,org.ops4j.pax.url:pax-url-aether:1.2.8,org.ops4j.pax.url:pax-url-aether:1.2.8;org.sonatype.aether:aether-api:1.7;org.sonatype.aether:aether-spi:1.7;org.sonatype.aether:aether-util:1.7;org.sonatype.aether:aether-impl:1.7;org.sonatype.aether:aether-connector-wagon:1.7;org.apache.maven:maven-aether-provider:3.0;org.apache.maven:maven-model-builder:3.0;org.codehaus.plexus:plexus-interpolation:1.14;org.apache.maven:maven-model:3.0;org.apache.maven:maven-repository-metadata:3.0;org.codehaus.plexus:plexus-component-annotations:1.5.5;org.apache.maven.wagon:wagon-provider-api:1.0-beta-6;org.apache.maven.wagon:wagon-file:1.0-beta-6;org.apache.maven.wagon:wagon-http-lightweight:1.0-beta-6;org.apache.maven.wagon:wagon-http-shared:1.0-beta-6;org.codehaus.plexus:plexus-container-default:1.5.4;org.codehaus.plexus:plexus-classworlds:2.2.2;org.apache.xbean:xbean-reflect:3.4;com.google.collections:google-collections:1.0;org.codehaus.plexus:plexus-utils:2.0.5;commons-httpclient:commons-httpclient:3.1;commons-logging:commons-logging:1.0.4;commons-codec:commons-codec:1.2
5,com.amap.api:navi-solo:1.9.3,com.amap.api:navi-solo:1.9.3
6,com.google.apis:google-api-services-ml:v1-rev62-1.23.0,com.google.apis:google-api-services-ml:v1-rev62-1.23.0;com.google.api-client:google-api-client:1.23.0;com.google.oauth-client:google-oauth-client:1.23.0;com.google.http-client:google-http-client:1.23.0;org.apache.httpcomponents:httpclient:4.0.1;org.apache.httpcomponents:httpcore:4.0.1;commons-logging:commons-logging:1.1.1;commons-codec:commons-codec:1.3;com.google.code.findbugs:jsr305:1.3.9;com.google.http-client:google-http-client-jackson2:1.23.0;com.fasterxml.jackson.core:jackson-core:2.1.3;com.google.guava:guava-jdk5:17.0
7,com.thoughtworks.feature:untyper_2.12:2.2.1,com.thoughtworks.feature:untyper_2.12:2.2.1;org.typelevel:scala-library:2.12.4-bin-typelevel-4;com.thoughtworks.extractor:extractor_2.12:2.1.0;org.scala-lang:scala-library:2.12.0
8,org.tinygroup:org.tinygroup.testutil:2.0.6,org.tinygroup:org.tinygroup.testutil:2.0.6;org.tinygroup:org.tinygroup.application:2.0.6;org.tinygroup:org.tinygroup.config:2.0.6;org.tinygroup:org.tinygroup.xmlparser:2.0.6;org.tinygroup:org.tinygroup.parser:2.0.6;org.tinygroup:org.tinygroup.binarytree:2.0.6;org.tinygroup:org.tinygroup.commons:2.0.6;org.tinygroup:org.tinygroup.loader:2.0.6;javassist:javassist:3.12.1.GA;commons-beanutils:commons-beanutils:1.8.3;commons-pool:commons-pool:1.4;commons-collections:commons-collections:3.1;com.google.guava:guava:16.0.1;commons-lang:commons-lang:2.4;concurrent:concurrent:1.0;org.tinygroup:org.tinygroup.exception:2.0.6;org.tinygroup:org.tinygroup.beancontainer:2.0.6;org.tinygroup:org.tinygroup.order:2.0.6;org.tinygroup:org.tinygroup.fileresolver:2.0.6;org.tinygroup:org.tinygroup.xstream:2.0.6;com.thoughtworks.xstream:xstream:1.4.3;xmlpull:xmlpull:1.1.3.1;xpp3:xpp3_min:1.1.4c;org.codehaus.jettison:jettison:1.3.3;stax:stax-api:1.0.1;org.tinygroup:org.tinygroup.i18n:2.0.6;org.tinygroup:org.tinygroup.context:2.0.6;org.tinygroup:org.tinygroup.formater:2.0.6;org.tinygroup:org.tinygroup.threadgroup:2.0.6;org.tinygroup:org.tinygroup.vfs:2.0.6;commons-net:commons-net:3.3;org.tinygroup:org.tinygroup.springutil:2.0.6;org.tinygroup:org.tinygroup.logger:2.0.6;org.slf4j:slf4j-api:1.7.7;org.slf4j:slf4j-log4j12:1.7.7;log4j:log4j:1.2.17;org.tinygroup:org.tinygroup.spring256:2.0.6;org.springframework:spring-web:2.5.6;commons-logging:commons-logging:1.1.1;org.springframework:spring-core:2.5.6;org.springframework:spring-aop:2.5.6;aopalliance:aopalliance:1.0;org.springframework:spring-beans:2.5.6;org.springframework:spring-webmvc:2.5.6;org.springframework:spring-context-support:2.5.6;org.springframework:spring-jdbc:2.5.6;org.springframework:spring-tx:2.5.6;org.springframework:spring-context:2.5.6;org.springframework:spring-orm:2.5.6
9,com.amazonaws:aws-java-sdk-sqs:1.11.676,com.amazonaws:aws-java-sdk-sqs:1.11.676;com.amazonaws:aws-java-sdk-core:1.11.676;commons-logging:commons-logging:1.1.3;org.apache.httpcomponents:httpclient:4.5.9;org.apache.httpcomponents:httpcore:4.4.11;commons-codec:commons-codec:1.11;software.amazon.ion:ion-java:1.0.2;com.fasterxml.jackson.core:jackson-databind:2.6.7.3;com.fasterxml.jackson.core:jackson-annotations:2.6.0;com.fasterxml.jackson.core:jackson-core:2.6.7;com.fasterxml.jackson.dataformat:jackson-dataformat-cbor:2.6.7;joda-time:joda-time:2.8.1;com.amazonaws:jmespath-java:1.11.676
