number,rootCoordinate,artifact,mergeTime,internalNodes,externalNodes,internalEdges,externalEdges,resolvedNodes,resolvedEdges,dependencies
0,org.digidoc4j:digidoc4j:1.0.7.1,org.digidoc4j:digidoc4j:1.0.7.1,98,1440,303,1611,1125,1972,7781,ee.sk.digidoc:jdigidoc:3.12.1;commons-cli:commons-cli:1.4;org.apache.commons:commons-compress:1.3;commons-io:commons-io:2.5;commons-codec:commons-codec:1.10;org.apache.commons:commons-lang3:3.6;commons-logging:commons-logging:1.2;org.apache.commons:commons-collections4:4.1;org.apache.httpcomponents:httpclient:4.5.3;org.apache.httpcomponents:httpcore:4.4.6;org.apache.santuario:xmlsec:2.0.8;org.bouncycastle:bcmail-jdk15on:1.54;org.bouncycastle:bcpkix-jdk15on:1.54;org.bouncycastle:bcprov-jdk15on:1.54;xalan:serializer:2.7.2;xalan:xalan:2.7.2;org.yaml:snakeyaml:1.18;org.slf4j:slf4j-api:1.7.25;ch.qos.logback:logback-classic:1.2.3;ch.qos.logback:logback-core:1.2.3;org.slf4j:log4j-over-slf4j:1.7.25;com.google.guava:guava:20.0;log4j:log4j:1.2.17;org.digidoc4j.dss:dss-common-validation-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-detailed-report-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-diagnostic-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-document:5.0.d4j.4;org.digidoc4j.dss:dss-model:5.0.d4j.4;org.digidoc4j.dss:dss-policy-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-reports:5.0.d4j.4;org.digidoc4j.dss:dss-service:5.0.d4j.4;org.slf4j:jcl-over-slf4j:1.7.22;org.digidoc4j.dss:dss-simple-report-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-spi:5.0.d4j.4;org.digidoc4j.dss:dss-token:5.0.d4j.4;org.digidoc4j.dss:dss-tsl-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-tsl-validation:5.0.d4j.4;org.digidoc4j.dss:dss-xades:5.0.d4j.4;org.digidoc4j.dss:dss-cades:5.0.d4j.4;org.digidoc4j.dss:validation-policy:5.0.d4j.4;org.digidoc4j.dss:dss-asic-common:5.0.d4j.4;org.digidoc4j.dss:dss-asic-cades:5.0.d4j.4;org.digidoc4j.dss:dss-asic-xades:5.0.d4j.4;org.digidoc4j.dss:dss-utils:5.0.d4j.4;org.digidoc4j.dss:dss-utils-apache-commons:5.0.d4j.4;org.digidoc4j.dss:dss-utils-google-guava:5.0.d4j.4
1,org.digidoc4j:digidoc4j:1.0.7.1,ee.sk.digidoc:jdigidoc:3.12.1,84,1621,143,3537,966,1542,4454,org.digidoc4j:digidoc4j:1.0.7.1;commons-cli:commons-cli:1.4;org.apache.commons:commons-compress:1.3;commons-io:commons-io:2.5;commons-codec:commons-codec:1.10;org.apache.commons:commons-lang3:3.6;commons-logging:commons-logging:1.2;org.apache.commons:commons-collections4:4.1;org.apache.httpcomponents:httpclient:4.5.3;org.apache.httpcomponents:httpcore:4.4.6;org.apache.santuario:xmlsec:2.0.8;org.bouncycastle:bcmail-jdk15on:1.54;org.bouncycastle:bcpkix-jdk15on:1.54;org.bouncycastle:bcprov-jdk15on:1.54;xalan:serializer:2.7.2;xalan:xalan:2.7.2;org.yaml:snakeyaml:1.18;org.slf4j:slf4j-api:1.7.25;ch.qos.logback:logback-classic:1.2.3;ch.qos.logback:logback-core:1.2.3;org.slf4j:log4j-over-slf4j:1.7.25;com.google.guava:guava:20.0;log4j:log4j:1.2.17;org.digidoc4j.dss:dss-common-validation-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-detailed-report-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-diagnostic-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-document:5.0.d4j.4;org.digidoc4j.dss:dss-model:5.0.d4j.4;org.digidoc4j.dss:dss-policy-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-reports:5.0.d4j.4;org.digidoc4j.dss:dss-service:5.0.d4j.4;org.slf4j:jcl-over-slf4j:1.7.22;org.digidoc4j.dss:dss-simple-report-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-spi:5.0.d4j.4;org.digidoc4j.dss:dss-token:5.0.d4j.4;org.digidoc4j.dss:dss-tsl-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-tsl-validation:5.0.d4j.4;org.digidoc4j.dss:dss-xades:5.0.d4j.4;org.digidoc4j.dss:dss-cades:5.0.d4j.4;org.digidoc4j.dss:validation-policy:5.0.d4j.4;org.digidoc4j.dss:dss-asic-common:5.0.d4j.4;org.digidoc4j.dss:dss-asic-cades:5.0.d4j.4;org.digidoc4j.dss:dss-asic-xades:5.0.d4j.4;org.digidoc4j.dss:dss-utils:5.0.d4j.4;org.digidoc4j.dss:dss-utils-apache-commons:5.0.d4j.4;org.digidoc4j.dss:dss-utils-google-guava:5.0.d4j.4
2,org.digidoc4j:digidoc4j:1.0.7.1,commons-cli:commons-cli:1.4,23,284,39,365,107,959,1929,org.digidoc4j:digidoc4j:1.0.7.1;ee.sk.digidoc:jdigidoc:3.12.1;org.apache.commons:commons-compress:1.3;commons-io:commons-io:2.5;commons-codec:commons-codec:1.10;org.apache.commons:commons-lang3:3.6;commons-logging:commons-logging:1.2;org.apache.commons:commons-collections4:4.1;org.apache.httpcomponents:httpclient:4.5.3;org.apache.httpcomponents:httpcore:4.4.6;org.apache.santuario:xmlsec:2.0.8;org.bouncycastle:bcmail-jdk15on:1.54;org.bouncycastle:bcpkix-jdk15on:1.54;org.bouncycastle:bcprov-jdk15on:1.54;xalan:serializer:2.7.2;xalan:xalan:2.7.2;org.yaml:snakeyaml:1.18;org.slf4j:slf4j-api:1.7.25;ch.qos.logback:logback-classic:1.2.3;ch.qos.logback:logback-core:1.2.3;org.slf4j:log4j-over-slf4j:1.7.25;com.google.guava:guava:20.0;log4j:log4j:1.2.17;org.digidoc4j.dss:dss-common-validation-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-detailed-report-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-diagnostic-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-document:5.0.d4j.4;org.digidoc4j.dss:dss-model:5.0.d4j.4;org.digidoc4j.dss:dss-policy-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-reports:5.0.d4j.4;org.digidoc4j.dss:dss-service:5.0.d4j.4;org.slf4j:jcl-over-slf4j:1.7.22;org.digidoc4j.dss:dss-simple-report-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-spi:5.0.d4j.4;org.digidoc4j.dss:dss-token:5.0.d4j.4;org.digidoc4j.dss:dss-tsl-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-tsl-validation:5.0.d4j.4;org.digidoc4j.dss:dss-xades:5.0.d4j.4;org.digidoc4j.dss:dss-cades:5.0.d4j.4;org.digidoc4j.dss:validation-policy:5.0.d4j.4;org.digidoc4j.dss:dss-asic-common:5.0.d4j.4;org.digidoc4j.dss:dss-asic-cades:5.0.d4j.4;org.digidoc4j.dss:dss-asic-xades:5.0.d4j.4;org.digidoc4j.dss:dss-utils:5.0.d4j.4;org.digidoc4j.dss:dss-utils-apache-commons:5.0.d4j.4;org.digidoc4j.dss:dss-utils-google-guava:5.0.d4j.4
3,org.digidoc4j:digidoc4j:1.0.7.1,org.apache.commons:commons-compress:1.3,18,1139,150,1483,603,1233,4182,org.digidoc4j:digidoc4j:1.0.7.1;ee.sk.digidoc:jdigidoc:3.12.1;commons-cli:commons-cli:1.4;commons-io:commons-io:2.5;commons-codec:commons-codec:1.10;org.apache.commons:commons-lang3:3.6;commons-logging:commons-logging:1.2;org.apache.commons:commons-collections4:4.1;org.apache.httpcomponents:httpclient:4.5.3;org.apache.httpcomponents:httpcore:4.4.6;org.apache.santuario:xmlsec:2.0.8;org.bouncycastle:bcmail-jdk15on:1.54;org.bouncycastle:bcpkix-jdk15on:1.54;org.bouncycastle:bcprov-jdk15on:1.54;xalan:serializer:2.7.2;xalan:xalan:2.7.2;org.yaml:snakeyaml:1.18;org.slf4j:slf4j-api:1.7.25;ch.qos.logback:logback-classic:1.2.3;ch.qos.logback:logback-core:1.2.3;org.slf4j:log4j-over-slf4j:1.7.25;com.google.guava:guava:20.0;log4j:log4j:1.2.17;org.digidoc4j.dss:dss-common-validation-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-detailed-report-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-diagnostic-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-document:5.0.d4j.4;org.digidoc4j.dss:dss-model:5.0.d4j.4;org.digidoc4j.dss:dss-policy-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-reports:5.0.d4j.4;org.digidoc4j.dss:dss-service:5.0.d4j.4;org.slf4j:jcl-over-slf4j:1.7.22;org.digidoc4j.dss:dss-simple-report-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-spi:5.0.d4j.4;org.digidoc4j.dss:dss-token:5.0.d4j.4;org.digidoc4j.dss:dss-tsl-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-tsl-validation:5.0.d4j.4;org.digidoc4j.dss:dss-xades:5.0.d4j.4;org.digidoc4j.dss:dss-cades:5.0.d4j.4;org.digidoc4j.dss:validation-policy:5.0.d4j.4;org.digidoc4j.dss:dss-asic-common:5.0.d4j.4;org.digidoc4j.dss:dss-asic-cades:5.0.d4j.4;org.digidoc4j.dss:dss-asic-xades:5.0.d4j.4;org.digidoc4j.dss:dss-utils:5.0.d4j.4;org.digidoc4j.dss:dss-utils-apache-commons:5.0.d4j.4;org.digidoc4j.dss:dss-utils-google-guava:5.0.d4j.4
4,org.digidoc4j:digidoc4j:1.0.7.1,commons-io:commons-io:2.5,38,1294,158,1248,761,2765,15093,org.digidoc4j:digidoc4j:1.0.7.1;ee.sk.digidoc:jdigidoc:3.12.1;commons-cli:commons-cli:1.4;org.apache.commons:commons-compress:1.3;commons-codec:commons-codec:1.10;org.apache.commons:commons-lang3:3.6;commons-logging:commons-logging:1.2;org.apache.commons:commons-collections4:4.1;org.apache.httpcomponents:httpclient:4.5.3;org.apache.httpcomponents:httpcore:4.4.6;org.apache.santuario:xmlsec:2.0.8;org.bouncycastle:bcmail-jdk15on:1.54;org.bouncycastle:bcpkix-jdk15on:1.54;org.bouncycastle:bcprov-jdk15on:1.54;xalan:serializer:2.7.2;xalan:xalan:2.7.2;org.yaml:snakeyaml:1.18;org.slf4j:slf4j-api:1.7.25;ch.qos.logback:logback-classic:1.2.3;ch.qos.logback:logback-core:1.2.3;org.slf4j:log4j-over-slf4j:1.7.25;com.google.guava:guava:20.0;log4j:log4j:1.2.17;org.digidoc4j.dss:dss-common-validation-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-detailed-report-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-diagnostic-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-document:5.0.d4j.4;org.digidoc4j.dss:dss-model:5.0.d4j.4;org.digidoc4j.dss:dss-policy-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-reports:5.0.d4j.4;org.digidoc4j.dss:dss-service:5.0.d4j.4;org.slf4j:jcl-over-slf4j:1.7.22;org.digidoc4j.dss:dss-simple-report-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-spi:5.0.d4j.4;org.digidoc4j.dss:dss-token:5.0.d4j.4;org.digidoc4j.dss:dss-tsl-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-tsl-validation:5.0.d4j.4;org.digidoc4j.dss:dss-xades:5.0.d4j.4;org.digidoc4j.dss:dss-cades:5.0.d4j.4;org.digidoc4j.dss:validation-policy:5.0.d4j.4;org.digidoc4j.dss:dss-asic-common:5.0.d4j.4;org.digidoc4j.dss:dss-asic-cades:5.0.d4j.4;org.digidoc4j.dss:dss-asic-xades:5.0.d4j.4;org.digidoc4j.dss:dss-utils:5.0.d4j.4;org.digidoc4j.dss:dss-utils-apache-commons:5.0.d4j.4;org.digidoc4j.dss:dss-utils-google-guava:5.0.d4j.4
5,org.digidoc4j:digidoc4j:1.0.7.1,commons-codec:commons-codec:1.10,13,718,76,812,347,665,1191,org.digidoc4j:digidoc4j:1.0.7.1;ee.sk.digidoc:jdigidoc:3.12.1;commons-cli:commons-cli:1.4;org.apache.commons:commons-compress:1.3;commons-io:commons-io:2.5;org.apache.commons:commons-lang3:3.6;commons-logging:commons-logging:1.2;org.apache.commons:commons-collections4:4.1;org.apache.httpcomponents:httpclient:4.5.3;org.apache.httpcomponents:httpcore:4.4.6;org.apache.santuario:xmlsec:2.0.8;org.bouncycastle:bcmail-jdk15on:1.54;org.bouncycastle:bcpkix-jdk15on:1.54;org.bouncycastle:bcprov-jdk15on:1.54;xalan:serializer:2.7.2;xalan:xalan:2.7.2;org.yaml:snakeyaml:1.18;org.slf4j:slf4j-api:1.7.25;ch.qos.logback:logback-classic:1.2.3;ch.qos.logback:logback-core:1.2.3;org.slf4j:log4j-over-slf4j:1.7.25;com.google.guava:guava:20.0;log4j:log4j:1.2.17;org.digidoc4j.dss:dss-common-validation-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-detailed-report-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-diagnostic-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-document:5.0.d4j.4;org.digidoc4j.dss:dss-model:5.0.d4j.4;org.digidoc4j.dss:dss-policy-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-reports:5.0.d4j.4;org.digidoc4j.dss:dss-service:5.0.d4j.4;org.slf4j:jcl-over-slf4j:1.7.22;org.digidoc4j.dss:dss-simple-report-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-spi:5.0.d4j.4;org.digidoc4j.dss:dss-token:5.0.d4j.4;org.digidoc4j.dss:dss-tsl-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-tsl-validation:5.0.d4j.4;org.digidoc4j.dss:dss-xades:5.0.d4j.4;org.digidoc4j.dss:dss-cades:5.0.d4j.4;org.digidoc4j.dss:validation-policy:5.0.d4j.4;org.digidoc4j.dss:dss-asic-common:5.0.d4j.4;org.digidoc4j.dss:dss-asic-cades:5.0.d4j.4;org.digidoc4j.dss:dss-asic-xades:5.0.d4j.4;org.digidoc4j.dss:dss-utils:5.0.d4j.4;org.digidoc4j.dss:dss-utils-apache-commons:5.0.d4j.4;org.digidoc4j.dss:dss-utils-google-guava:5.0.d4j.4
6,org.digidoc4j:digidoc4j:1.0.7.1,org.apache.commons:commons-lang3:3.6,122,3432,299,3706,1644,4742,45120,org.digidoc4j:digidoc4j:1.0.7.1;ee.sk.digidoc:jdigidoc:3.12.1;commons-cli:commons-cli:1.4;org.apache.commons:commons-compress:1.3;commons-io:commons-io:2.5;commons-codec:commons-codec:1.10;commons-logging:commons-logging:1.2;org.apache.commons:commons-collections4:4.1;org.apache.httpcomponents:httpclient:4.5.3;org.apache.httpcomponents:httpcore:4.4.6;org.apache.santuario:xmlsec:2.0.8;org.bouncycastle:bcmail-jdk15on:1.54;org.bouncycastle:bcpkix-jdk15on:1.54;org.bouncycastle:bcprov-jdk15on:1.54;xalan:serializer:2.7.2;xalan:xalan:2.7.2;org.yaml:snakeyaml:1.18;org.slf4j:slf4j-api:1.7.25;ch.qos.logback:logback-classic:1.2.3;ch.qos.logback:logback-core:1.2.3;org.slf4j:log4j-over-slf4j:1.7.25;com.google.guava:guava:20.0;log4j:log4j:1.2.17;org.digidoc4j.dss:dss-common-validation-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-detailed-report-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-diagnostic-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-document:5.0.d4j.4;org.digidoc4j.dss:dss-model:5.0.d4j.4;org.digidoc4j.dss:dss-policy-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-reports:5.0.d4j.4;org.digidoc4j.dss:dss-service:5.0.d4j.4;org.slf4j:jcl-over-slf4j:1.7.22;org.digidoc4j.dss:dss-simple-report-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-spi:5.0.d4j.4;org.digidoc4j.dss:dss-token:5.0.d4j.4;org.digidoc4j.dss:dss-tsl-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-tsl-validation:5.0.d4j.4;org.digidoc4j.dss:dss-xades:5.0.d4j.4;org.digidoc4j.dss:dss-cades:5.0.d4j.4;org.digidoc4j.dss:validation-policy:5.0.d4j.4;org.digidoc4j.dss:dss-asic-common:5.0.d4j.4;org.digidoc4j.dss:dss-asic-cades:5.0.d4j.4;org.digidoc4j.dss:dss-asic-xades:5.0.d4j.4;org.digidoc4j.dss:dss-utils:5.0.d4j.4;org.digidoc4j.dss:dss-utils-apache-commons:5.0.d4j.4;org.digidoc4j.dss:dss-utils-google-guava:5.0.d4j.4
7,org.digidoc4j:digidoc4j:1.0.7.1,commons-logging:commons-logging:1.2,18,337,69,355,215,1528,3763,org.digidoc4j:digidoc4j:1.0.7.1;ee.sk.digidoc:jdigidoc:3.12.1;commons-cli:commons-cli:1.4;org.apache.commons:commons-compress:1.3;commons-io:commons-io:2.5;commons-codec:commons-codec:1.10;org.apache.commons:commons-lang3:3.6;org.apache.commons:commons-collections4:4.1;org.apache.httpcomponents:httpclient:4.5.3;org.apache.httpcomponents:httpcore:4.4.6;org.apache.santuario:xmlsec:2.0.8;org.bouncycastle:bcmail-jdk15on:1.54;org.bouncycastle:bcpkix-jdk15on:1.54;org.bouncycastle:bcprov-jdk15on:1.54;xalan:serializer:2.7.2;xalan:xalan:2.7.2;org.yaml:snakeyaml:1.18;org.slf4j:slf4j-api:1.7.25;ch.qos.logback:logback-classic:1.2.3;ch.qos.logback:logback-core:1.2.3;org.slf4j:log4j-over-slf4j:1.7.25;com.google.guava:guava:20.0;log4j:log4j:1.2.17;org.digidoc4j.dss:dss-common-validation-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-detailed-report-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-diagnostic-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-document:5.0.d4j.4;org.digidoc4j.dss:dss-model:5.0.d4j.4;org.digidoc4j.dss:dss-policy-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-reports:5.0.d4j.4;org.digidoc4j.dss:dss-service:5.0.d4j.4;org.slf4j:jcl-over-slf4j:1.7.22;org.digidoc4j.dss:dss-simple-report-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-spi:5.0.d4j.4;org.digidoc4j.dss:dss-token:5.0.d4j.4;org.digidoc4j.dss:dss-tsl-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-tsl-validation:5.0.d4j.4;org.digidoc4j.dss:dss-xades:5.0.d4j.4;org.digidoc4j.dss:dss-cades:5.0.d4j.4;org.digidoc4j.dss:validation-policy:5.0.d4j.4;org.digidoc4j.dss:dss-asic-common:5.0.d4j.4;org.digidoc4j.dss:dss-asic-cades:5.0.d4j.4;org.digidoc4j.dss:dss-asic-xades:5.0.d4j.4;org.digidoc4j.dss:dss-utils:5.0.d4j.4;org.digidoc4j.dss:dss-utils-apache-commons:5.0.d4j.4;org.digidoc4j.dss:dss-utils-google-guava:5.0.d4j.4
8,org.digidoc4j:digidoc4j:1.0.7.1,org.apache.commons:commons-collections4:4.1,279,4607,133,6414,1349,6101,155905,org.digidoc4j:digidoc4j:1.0.7.1;ee.sk.digidoc:jdigidoc:3.12.1;commons-cli:commons-cli:1.4;org.apache.commons:commons-compress:1.3;commons-io:commons-io:2.5;commons-codec:commons-codec:1.10;org.apache.commons:commons-lang3:3.6;commons-logging:commons-logging:1.2;org.apache.httpcomponents:httpclient:4.5.3;org.apache.httpcomponents:httpcore:4.4.6;org.apache.santuario:xmlsec:2.0.8;org.bouncycastle:bcmail-jdk15on:1.54;org.bouncycastle:bcpkix-jdk15on:1.54;org.bouncycastle:bcprov-jdk15on:1.54;xalan:serializer:2.7.2;xalan:xalan:2.7.2;org.yaml:snakeyaml:1.18;org.slf4j:slf4j-api:1.7.25;ch.qos.logback:logback-classic:1.2.3;ch.qos.logback:logback-core:1.2.3;org.slf4j:log4j-over-slf4j:1.7.25;com.google.guava:guava:20.0;log4j:log4j:1.2.17;org.digidoc4j.dss:dss-common-validation-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-detailed-report-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-diagnostic-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-document:5.0.d4j.4;org.digidoc4j.dss:dss-model:5.0.d4j.4;org.digidoc4j.dss:dss-policy-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-reports:5.0.d4j.4;org.digidoc4j.dss:dss-service:5.0.d4j.4;org.slf4j:jcl-over-slf4j:1.7.22;org.digidoc4j.dss:dss-simple-report-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-spi:5.0.d4j.4;org.digidoc4j.dss:dss-token:5.0.d4j.4;org.digidoc4j.dss:dss-tsl-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-tsl-validation:5.0.d4j.4;org.digidoc4j.dss:dss-xades:5.0.d4j.4;org.digidoc4j.dss:dss-cades:5.0.d4j.4;org.digidoc4j.dss:validation-policy:5.0.d4j.4;org.digidoc4j.dss:dss-asic-common:5.0.d4j.4;org.digidoc4j.dss:dss-asic-cades:5.0.d4j.4;org.digidoc4j.dss:dss-asic-xades:5.0.d4j.4;org.digidoc4j.dss:dss-utils:5.0.d4j.4;org.digidoc4j.dss:dss-utils-apache-commons:5.0.d4j.4;org.digidoc4j.dss:dss-utils-google-guava:5.0.d4j.4
9,org.digidoc4j:digidoc4j:1.0.7.1,org.apache.httpcomponents:httpclient:4.5.3,27,3024,413,3291,2047,3516,8417,org.digidoc4j:digidoc4j:1.0.7.1;ee.sk.digidoc:jdigidoc:3.12.1;commons-cli:commons-cli:1.4;org.apache.commons:commons-compress:1.3;commons-io:commons-io:2.5;commons-codec:commons-codec:1.10;org.apache.commons:commons-lang3:3.6;commons-logging:commons-logging:1.2;org.apache.commons:commons-collections4:4.1;org.apache.httpcomponents:httpcore:4.4.6;org.apache.santuario:xmlsec:2.0.8;org.bouncycastle:bcmail-jdk15on:1.54;org.bouncycastle:bcpkix-jdk15on:1.54;org.bouncycastle:bcprov-jdk15on:1.54;xalan:serializer:2.7.2;xalan:xalan:2.7.2;org.yaml:snakeyaml:1.18;org.slf4j:slf4j-api:1.7.25;ch.qos.logback:logback-classic:1.2.3;ch.qos.logback:logback-core:1.2.3;org.slf4j:log4j-over-slf4j:1.7.25;com.google.guava:guava:20.0;log4j:log4j:1.2.17;org.digidoc4j.dss:dss-common-validation-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-detailed-report-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-diagnostic-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-document:5.0.d4j.4;org.digidoc4j.dss:dss-model:5.0.d4j.4;org.digidoc4j.dss:dss-policy-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-reports:5.0.d4j.4;org.digidoc4j.dss:dss-service:5.0.d4j.4;org.slf4j:jcl-over-slf4j:1.7.22;org.digidoc4j.dss:dss-simple-report-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-spi:5.0.d4j.4;org.digidoc4j.dss:dss-token:5.0.d4j.4;org.digidoc4j.dss:dss-tsl-jaxb:5.0.d4j.4;org.digidoc4j.dss:dss-tsl-validation:5.0.d4j.4;org.digidoc4j.dss:dss-xades:5.0.d4j.4;org.digidoc4j.dss:dss-cades:5.0.d4j.4;org.digidoc4j.dss:validation-policy:5.0.d4j.4;org.digidoc4j.dss:dss-asic-common:5.0.d4j.4;org.digidoc4j.dss:dss-asic-cades:5.0.d4j.4;org.digidoc4j.dss:dss-asic-xades:5.0.d4j.4;org.digidoc4j.dss:dss-utils:5.0.d4j.4;org.digidoc4j.dss:dss-utils-apache-commons:5.0.d4j.4;org.digidoc4j.dss:dss-utils-google-guava:5.0.d4j.4
